age,gender,education,country,ethnicity,nscore,escore,oscore,ascore,cscore,impuslive,ss,alcohol,amphet,amyl,benzos,caff,cannabis,choc,coke,crack,ecstasy,heroin,ketamine,legalh,lsd,meth,mushrooms,nicotine,semer,vsa
18-24,Mujer,"Some college or university, no certificate or degree",USA,Other,47,31,48,43,33,5.52%,5.46%,Used in Last Year,Used in Last Year,Never Used,Used in Last Decade,Used in Last Day,Used in Last Month,Used in Last Year,Used in Last Month,Used in Last Decade,Used in Last Year,Used in Last Decade,Used in Last Decade,Used in Last Year,Used in Last Year,Used in Last Year,Never Used,Used in Last Month,Never Used,Used in Last Year
18-24,Hombre,"Some college or university, no certificate or degree",USA,White,44,37,52,46,38,11.46%,11.14%,Used in Last Day,Used in Last Year,Never Used,Used in Last Year,Used in Last Year,Used in Last Day,Used in Last Week,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Year,Used in Last Year,Never Used,Used in Last Decade,Used in Last Year,Never Used,Never Used
18-24,Hombre,"Some college or university, no certificate or degree",USA,White,33,43,52,43,49,18.83%,11.14%,Used in Last Day,Used in Last Week,Never Used,Used in Last Month,Used in Last Week,Used in Last Year,Used in Last Week,Used in Last Year,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
18-24,Mujer,Masters degree,USA,White,49,34,52,43,44,18.83%,11.19%,Used in Last Month,Used in Last Decade,Never Used,Used in Last Year,Used in Last Week,Used in Last Week,Used in Last Week,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Year,Used in Last Year,Never Used,Used in Last Decade,Used in Last Year,Never Used,Never Used
18-24,Mujer,Professional certificate/ diploma,Other,White,30,40,47,41,29,10.34%,11.19%,Used in Last Year,Used in Last Year,Used in Last Decade,Used in Last Year,Used in Last Month,Used in Last Day,Used in Last Week,Used in Last Year,Never Used,Used in Last Year,Never Used,Used in Last Year,Used in Last Month,Used in Last Year,Never Used,Used in Last Year,Used in Last Day,Never Used,Used in Last Decade
35-44,Mujer,Professional certificate/ diploma,Other,White,44,36,47,38,43,7.85%,11.62%,Used in Last Day,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Used in Last Day,Used in Last Decade,Used in Last Year,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used over a Decade Ago,Never Used,Used in Last Decade,Used over a Decade Ago,Never Used,Used in Last Decade,Used in Last Day,Never Used,Used over a Decade Ago
18-24,Mujer,Professional certificate/ diploma,UK,White,21,48,42,39,33,5.52%,11.19%,Used in Last Week,Never Used,Used in Last Decade,Never Used,Used in Last Week,Never Used,Used in Last Day,Used in Last Week,Never Used,Used in Last Week,Never Used,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
18-24,Mujer,"Some college or university, no certificate or degree",UK,White,19,41,51,44,47,13.63%,11.14%,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Week,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
18-24,Mujer,University degree,Australia,White,34,37,52,39,36,7.85%,11.19%,Used in Last Week,Used in Last Year,Used in Last Week,Used in Last Year,Used in Last Day,Used in Last Week,Used in Last Day,Never Used,Never Used,Used in Last Year,Never Used,Used in Last Decade,Used in Last Year,Used in Last Year,Never Used,Used in Last Year,Used in Last Week,Never Used,Used in Last Week
18-24,Mujer,"Some college or university, no certificate or degree",USA,White,42,39,50,32,41,7.85%,5.46%,Used in Last Week,Used in Last Year,Used in Last Month,Used in Last Year,Used in Last Day,Used in Last Year,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Used in Last Week,Never Used,Used in Last Month,Never Used,Used in Last Month,Never Used,Used in Last Decade
18-24,Mujer,"Some college or university, no certificate or degree",Other,White,44,44,48,36,31,16.29%,11.83%,Used in Last Week,Used in Last Week,Used in Last Year,Used in Last Year,Used in Last Day,Used in Last Week,Used in Last Day,Used in Last Year,Used in Last Decade,Used in Last Year,Used in Last Year,Used in Last Month,Used in Last Week,Used in Last Week,Used in Last Year,Used in Last Year,Used in Last Year,Never Used,Used in Last Year
25-34,Mujer,"Some college or university, no certificate or degree",UK,White,36,53,44,39,42,7.85%,11.62%,Used in Last Week,Used in Last Decade,Used in Last Year,Never Used,Used in Last Day,Never Used,Used in Last Day,Used in Last Month,Never Used,Used in Last Week,Never Used,Used in Last Year,Used in Last Week,Used in Last Decade,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago
25-34,Mujer,University degree,UK,White,35,36,54,51,38,13.63%,11.19%,Used in Last Day,Used over a Decade Ago,Used in Last Decade,Never Used,Used in Last Day,Used in Last Day,Used in Last Week,Never Used,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Decade,Used in Last Year,Never Used,Used in Last Year,Used in Last Day,Never Used,Never Used
18-24,Mujer,"Some college or university, no certificate or degree",USA,White,47,36,44,39,49,16.29%,11.83%,Used in Last Year,Used in Last Year,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Month,Used in Last Week,Never Used,Used in Last Week,Never Used,Never Used,Used in Last Year,Used in Last Week,Never Used,Used in Last Month,Used in Last Decade,Never Used,Never Used
18-24,Mujer,"Some college or university, no certificate or degree",USA,White,40,33,44,46,41,18.83%,11.19%,Used in Last Year,Used in Last Day,Never Used,Used in Last Week,Used in Last Week,Used in Last Day,Used in Last Month,Used in Last Month,Used in Last Year,Used in Last Month,Used in Last Week,Used in Last Year,Used in Last Week,Used in Last Month,Used in Last Year,Used in Last Week,Used in Last Day,Never Used,Never Used
18-24,Hombre,University degree,UK,White,30,45,49,47,50,16.29%,11.19%,Used in Last Week,Used in Last Year,Used in Last Decade,Never Used,Used in Last Month,Used in Last Week,Used in Last Day,Used in Last Decade,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Decade
25-34,Hombre,"Some college or university, no certificate or degree",USA,White,37,47,51,41,47,18.83%,11.14%,Used in Last Day,Used in Last Year,Never Used,Used in Last Year,Used in Last Day,Used in Last Month,Used in Last Day,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Day,Never Used,Never Used
35-44,Hombre,"Some college or university, no certificate or degree",UK,White,48,44,55,46,37,5.52%,11.19%,Used in Last Week,Used in Last Decade,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Used in Last Day,Used in Last Week,Used in Last Year,Used over a Decade Ago,Used in Last Week,Used over a Decade Ago,Used over a Decade Ago,Used in Last Year,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Week,Never Used,Never Used
18-24,Mujer,"Some college or university, no certificate or degree",Canada,White,25,41,46,46,54,18.83%,11.83%,Used in Last Month,Used in Last Year,Never Used,Used in Last Year,Used in Last Day,Used in Last Month,Used in Last Day,Used in Last Year,Never Used,Used in Last Month,Never Used,Never Used,Used in Last Day,Used in Last Year,Used in Last Year,Used in Last Year,Used in Last Year,Never Used,Never Used
25-34,Mujer,"Some college or university, no certificate or degree",USA,White,41,37,45,47,34,11.46%,13.21%,Used in Last Year,Used in Last Week,Used in Last Decade,Used in Last Decade,Used in Last Day,Used in Last Day,Used in Last Week,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Year,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Decade,Never Used,Used over a Decade Ago
18-24,Mujer,Left school at 18 years,Republic of Ireland,White,31,42,47,38,37,10.34%,11.14%,Used in Last Week,Used in Last Month,Never Used,Used in Last Year,Used in Last Day,Used in Last Week,Used in Last Day,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Week
45-54,Hombre,University degree,USA,White,37,33,39,48,40,14.64%,11.14%,Used in Last Day,Used in Last Day,Used over a Decade Ago,Never Used,Used in Last Day,Used in Last Month,Used in Last Week,Used in Last Year,Never Used,Never Used,Used in Last Year,Never Used,Used in Last Day,Used in Last Decade,Never Used,Never Used,Used in Last Day,Never Used,Never Used
25-34,Mujer,"Some college or university, no certificate or degree",USA,White,41,32,43,49,42,18.83%,11.62%,Used in Last Week,Used in Last Decade,Never Used,Used in Last Year,Used in Last Day,Used in Last Decade,Used in Last Month,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Day,Never Used,Used over a Decade Ago
18-24,Hombre,University degree,Canada,White,54,29,55,31,45,11.46%,11.62%,Used in Last Day,Used in Last Month,Used in Last Year,Used in Last Day,Used in Last Day,Used in Last Decade,Used in Last Month,Used in Last Day,Used in Last Month,Used in Last Month,Used in Last Day,Used in Last Week,Used in Last Month,Used in Last Week,Never Used,Used in Last Week,Used in Last Day,Never Used,Never Used
25-34,Mujer,"Some college or university, no certificate or degree",USA,White,33,41,44,40,35,7.85%,11.19%,Used in Last Decade,Used in Last Day,Never Used,Used in Last Day,Used in Last Day,Used in Last Year,Used in Last Month,Used in Last Year,Used in Last Decade,Used in Last Decade,Used in Last Year,Used in Last Year,Never Used,Used in Last Decade,Used in Last Year,Used in Last Year,Used in Last Day,Never Used,Used over a Decade Ago
18-24,Mujer,Left school at 17 years,Australia,White,32,45,51,47,35,5.52%,11.14%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Used in Last Year,Never Used,Used in Last Month,Used in Last Year,Never Used,Never Used
18-24,Hombre,"Some college or university, no certificate or degree",USA,White,46,45,53,36,38,10.34%,11.14%,Used in Last Day,Never Used,Never Used,Used in Last Week,Used in Last Day,Used in Last Year,Used in Last Week,Used in Last Year,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Used in Last Day,Never Used,Never Used
18-24,Mujer,University degree,USA,White,40,26,39,48,30,14.64%,8.97%,Used in Last Year,Used in Last Year,Never Used,Used in Last Year,Used in Last Day,Used in Last Year,Used in Last Day,Used in Last Year,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Used in Last Day,Never Used,Used in Last Decade
18-24,Mujer,Professional certificate/ diploma,UK,White,21,34,37,54,41,18.83%,8.97%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Month,Used in Last Month,Used in Last Month,Used in Last Year,Never Used,Used in Last Year,Never Used,Used in Last Year,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
18-24,Mujer,Left school at 18 years,USA,White,21,45,53,37,39,16.29%,11.62%,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Year,Used in Last Month,Used in Last Month,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Year,Used in Last Year,Used in Last Year,Never Used,Used in Last Month,Never Used,Never Used,Used in Last Year
45-54,Hombre,University degree,USA,White,48,51,52,30,29,10.34%,11.14%,Used in Last Day,Used in Last Month,Used over a Decade Ago,Used in Last Decade,Used in Last Day,Used in Last Year,Used in Last Day,Used in Last Year,Used in Last Decade,Used in Last Year,Used over a Decade Ago,Never Used,Used in Last Month,Used over a Decade Ago,Used in Last Year,Used over a Decade Ago,Used in Last Month,Never Used,Never Used
18-24,Mujer,"Some college or university, no certificate or degree",USA,White,47,35,46,34,35,7.85%,11.14%,Used in Last Month,Never Used,Never Used,Used in Last Month,Used in Last Day,Used in Last Week,Used in Last Month,Used in Last Year,Never Used,Never Used,Used in Last Year,Used in Last Week,Used in Last Day,Never Used,Never Used,Used in Last Year,Used in Last Day,Never Used,Used in Last Year
25-34,Mujer,University degree,USA,White,41,36,51,32,45,18.83%,13.21%,Used in Last Year,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Day,Used in Last Decade,Used in Last Week,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Week,Never Used,Used in Last Year,Used in Last Decade,Used in Last Year,Never Used,Used in Last Day,Never Used,Used in Last Decade
18-24,Mujer,"Some college or university, no certificate or degree",UK,White,29,40,43,37,44,11.46%,5.46%,Used in Last Week,Used in Last Year,Used in Last Month,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Year,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Month,Used in Last Year,Never Used,Used in Last Year,Used in Last Day,Never Used,Used in Last Decade
18-24,Mujer,"Some college or university, no certificate or degree",Canada,White,57,42,48,37,34,5.52%,11.14%,Used in Last Week,Used in Last Decade,Never Used,Used in Last Day,Used in Last Week,Used in Last Week,Used in Last Month,Used in Last Year,Used in Last Week,Used in Last Year,Used in Last Year,Used in Last Year,Used in Last Decade,Used in Last Decade,Used in Last Year,Used in Last Decade,Used in Last Day,Never Used,Used in Last Decade
18-24,Hombre,"Some college or university, no certificate or degree",USA,White,37,33,46,46,47,18.83%,11.19%,Used in Last Year,Never Used,Never Used,Never Used,Used over a Decade Ago,Used in Last Week,Used in Last Week,Never Used,Never Used,Used in Last Year,Used in Last Year,Used in Last Year,Used in Last Month,Used in Last Year,Never Used,Used in Last Month,Never Used,Never Used,Never Used
45-54,Mujer,Doctorate degree,Australia,White,42,41,52,57,44,16.29%,13.21%,Used in Last Month,Used in Last Year,Used in Last Decade,Used in Last Month,Used in Last Month,Used in Last Week,Used in Last Month,Used in Last Decade,Used over a Decade Ago,Used in Last Decade,Used in Last Year,Used over a Decade Ago,Used in Last Decade,Used in Last Decade,Used over a Decade Ago,Used in Last Decade,Used in Last Year,Never Used,Used over a Decade Ago
25-34,Hombre,Masters degree,UK,White,51,34,46,41,33,13.63%,13.21%,Used in Last Week,Used in Last Decade,Used in Last Year,Used in Last Week,Used in Last Day,Used in Last Day,Used in Last Week,Used in Last Decade,Never Used,Used in Last Month,Never Used,Used in Last Month,Used in Last Day,Never Used,Never Used,Used in Last Decade,Used in Last Week,Never Used,Used over a Decade Ago
18-24,Mujer,"Some college or university, no certificate or degree",Australia,Asian,29,51,51,44,45,10.34%,5.46%,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Month,Used in Last Week,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Week,Used in Last Month,Used in Last Year,Never Used
18-24,Hombre,University degree,USA,White,32,42,45,42,43,10.34%,11.14%,Used in Last Week,Used in Last Month,Never Used,Never Used,Used in Last Day,Used in Last Decade,Used in Last Month,Used in Last Month,Never Used,Used in Last Year,Never Used,Used in Last Year,Used in Last Decade,Used in Last Year,Never Used,Used in Last Year,Used in Last Year,Never Used,Used in Last Year
18-24,Mujer,"Some college or university, no certificate or degree",UK,White,35,47,51,40,45,18.83%,11.14%,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used
18-24,Mujer,"Some college or university, no certificate or degree",USA,White,35,41,51,45,39,10.34%,11.14%,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Month,Never Used,Never Used,Used in Last Month,Never Used,Never Used,Used in Last Year,Used in Last Week,Used in Last Week,Used in Last Year,Used in Last Day,Never Used,Never Used
18-24,Mujer,"Some college or university, no certificate or degree",Other,Mixed-Black/Asian,36,38,45,29,26,7.85%,11.14%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Used in Last Week,Never Used,Used in Last Month,Used in Last Day,Never Used,Used in Last Month
18-24,Mujer,University degree,Australia,White,42,24,26,49,31,16.29%,7.00%,Used in Last Week,Used in Last Day,Never Used,Used in Last Week,Used in Last Day,Used in Last Week,Used in Last Day,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Used in Last Day,Never Used,Never Used
18-24,Mujer,University degree,USA,White,41,44,47,36,50,18.83%,13.21%,Used in Last Day,Used in Last Decade,Never Used,Used in Last Month,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Week,Used in Last Week,Used in Last Day,Never Used,Used in Last Year,Used in Last Week,Used in Last Day,Used in Last Decade,Used in Last Decade,Never Used,Never Used
18-24,Mujer,"Some college or university, no certificate or degree",USA,White,37,49,54,35,36,11.46%,11.19%,Used in Last Year,Used in Last Day,Never Used,Used in Last Month,Used in Last Day,Used in Last Day,Used in Last Week,Used in Last Month,Used in Last Year,Used in Last Day,Used in Last Month,Used in Last Year,Used in Last Day,Used in Last Month,Used in Last Week,Used in Last Month,Never Used,Never Used,Never Used
18-24,Mujer,University degree,Other,White,27,43,46,38,39,13.63%,13.21%,Used in Last Day,Used in Last Decade,Never Used,Used in Last Month,Used in Last Day,Used in Last Year,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Never Used
25-34,Hombre,Doctorate degree,Australia,White,52,43,53,47,43,14.64%,11.19%,Used in Last Week,Used in Last Year,Never Used,Never Used,Used in Last Year,Used in Last Year,Used in Last Day,Never Used,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used
18-24,Mujer,"Some college or university, no certificate or degree",USA,White,37,44,57,51,40,14.64%,13.21%,Used in Last Month,Used in Last Year,Never Used,Never Used,Used in Last Day,Used in Last Month,Used in Last Day,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Never Used,Used in Last Month,Never Used,Never Used
18-24,Mujer,Professional certificate/ diploma,UK,White,39,37,41,49,41,13.63%,11.83%,Used in Last Day,Used in Last Day,Used in Last Decade,Never Used,Used in Last Day,Used in Last Week,Used in Last Week,Used in Last Year,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Never Used
18-24,Mujer,"Some college or university, no certificate or degree",USA,White,45,34,47,47,41,18.83%,11.19%,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Year,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Never Used
25-34,Hombre,Masters degree,USA,White,37,33,55,44,46,11.46%,5.46%,Used in Last Day,Used in Last Year,Used over a Decade Ago,Used in Last Week,Used in Last Day,Used in Last Day,Used in Last Week,Used over a Decade Ago,Never Used,Used in Last Week,Never Used,Used over a Decade Ago,Used in Last Week,Used in Last Week,Never Used,Used in Last Year,Used in Last Year,Never Used,Never Used
45-54,Hombre,Doctorate degree,USA,White,36,41,46,38,36,10.34%,11.19%,Used in Last Day,Used in Last Day,Used over a Decade Ago,Used in Last Month,Used in Last Month,Used over a Decade Ago,Used in Last Month,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used over a Decade Ago
25-34,Hombre,Masters degree,USA,White,44,35,46,41,46,18.83%,8.97%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used
18-24,Mujer,University degree,USA,White,41,33,43,42,41,18.83%,11.62%,Used in Last Day,Used in Last Year,Never Used,Used in Last Decade,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Month,Never Used,Used in Last Month,Never Used,Used in Last Decade,Used in Last Year,Used in Last Year,Used in Last Decade,Used in Last Year,Used in Last Day,Never Used,Used in Last Decade
18-24,Mujer,University degree,Australia,White,21,41,46,41,30,13.63%,11.62%,Used in Last Month,Never Used,Used in Last Month,Never Used,Used in Last Day,Used in Last Month,Used in Last Month,Never Used,Never Used,Used in Last Month,Never Used,Never Used,Used in Last Month,Used in Last Month,Never Used,Used in Last Month,Never Used,Never Used,Never Used
45-54,Mujer,Masters degree,USA,White,32,42,47,35,44,13.63%,13.21%,Used in Last Year,Used in Last Day,Used in Last Year,Used in Last Decade,Used in Last Day,Used in Last Decade,Used in Last Month,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Year
18-24,Mujer,"Some college or university, no certificate or degree",Australia,White,21,51,50,46,48,7.85%,11.62%,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Month,Used in Last Month,Used in Last Year,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Month,Never Used,Never Used,Used in Last Week
18-24,Mujer,Left school at 18 years,UK,White,43,40,58,44,30,7.85%,11.19%,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Year,Used in Last Day,Never Used,Never Used,Used in Last Month,Never Used,Used in Last Month,Used in Last Week,Used in Last Year,Never Used,Used in Last Year,Used in Last Day,Never Used,Used in Last Decade
25-34,Mujer,University degree,USA,White,38,30,50,24,42,10.34%,11.14%,Used in Last Week,Used in Last Day,Used in Last Decade,Used in Last Week,Used in Last Day,Used in Last Week,Used in Last Week,Used in Last Year,Used in Last Decade,Used in Last Year,Used in Last Year,Used in Last Decade,Used in Last Year,Used in Last Year,Used in Last Day,Used in Last Year,Used in Last Day,Never Used,Used in Last Decade
18-24,Mujer,"Some college or university, no certificate or degree",USA,White,30,39,52,40,32,5.52%,11.19%,Used in Last Month,Used in Last Month,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Used in Last Year
18-24,Mujer,"Some college or university, no certificate or degree",USA,White,29,40,48,54,50,18.83%,11.19%,Used in Last Year,Used in Last Decade,Never Used,Used in Last Year,Used in Last Week,Used in Last Day,Used in Last Month,Used in Last Decade,Never Used,Used in Last Month,Never Used,Never Used,Used in Last Year,Used in Last Year,Never Used,Used in Last Year,Never Used,Never Used,Never Used
25-34,Hombre,"Some college or university, no certificate or degree",USA,White,41,37,47,36,40,14.64%,11.62%,Used in Last Day,Used over a Decade Ago,Never Used,Used in Last Month,Used in Last Day,Used in Last Year,Used in Last Month,Used over a Decade Ago,Never Used,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
18-24,Hombre,"Some college or university, no certificate or degree",USA,White,39,45,53,50,38,13.63%,13.21%,Used in Last Week,Never Used,Never Used,Used in Last Decade,Used in Last Month,Used in Last Month,Used in Last Day,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Year,Never Used,Used in Last Year,Used in Last Year,Used in Last Month,Never Used,Used in Last Decade
35-44,Mujer,"Some college or university, no certificate or degree",USA,White,45,28,36,42,44,14.64%,4.62%,Used in Last Day,Never Used,Never Used,Used in Last Week,Used in Last Day,Used in Last Decade,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used
18-24,Hombre,Professional certificate/ diploma,Canada,White,41,37,35,50,37,13.63%,11.19%,Used in Last Decade,Used in Last Day,Never Used,Never Used,Used in Last Week,Used in Last Decade,Used in Last Day,Used in Last Decade,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Used in Last Day,Never Used,Never Used
25-34,Mujer,University degree,USA,White,42,37,48,30,35,11.46%,11.19%,Used in Last Year,Used in Last Day,Used in Last Decade,Used in Last Day,Used in Last Day,Used in Last Year,Used in Last Month,Used in Last Month,Used in Last Decade,Used in Last Year,Used in Last Month,Used in Last Month,Never Used,Used in Last Year,Used in Last Decade,Used in Last Week,Used in Last Day,Never Used,Used over a Decade Ago
18-24,Mujer,Left school at 18 years,USA,White,41,44,53,36,39,7.85%,11.14%,Used in Last Day,Used in Last Day,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Year,Used in Last Year,Used in Last Decade,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Used in Last Week,Used in Last Year,Never Used,Used in Last Decade
55-64,Mujer,Masters degree,USA,White,21,40,54,51,45,13.63%,11.62%,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Used over a Decade Ago,Never Used,Used in Last Year,Never Used,Never Used,Never Used
18-24,Mujer,Masters degree,Other,White,40,33,49,41,45,13.63%,13.21%,Used in Last Week,Never Used,Used in Last Decade,Never Used,Used in Last Day,Used in Last Week,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Month,Used in Last Day,Never Used,Used over a Decade Ago
18-24,Mujer,"Some college or university, no certificate or degree",USA,White,28,49,55,49,43,11.46%,11.62%,Never Used,Used in Last Decade,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Year,Used in Last Year,Used in Last Year,Used in Last Month,Never Used,Never Used,Never Used
25-34,Mujer,University degree,USA,White,43,41,36,35,32,13.63%,11.14%,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Day,Used in Last Decade,Used in Last Day,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Year,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Year,Never Used,Used in Last Decade
18-24,Mujer,"Some college or university, no certificate or degree",USA,White,36,40,55,44,40,13.63%,11.62%,Used in Last Week,Used in Last Week,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Week,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Year,Used in Last Decade,Used in Last Month,Used in Last Decade,Used in Last Year,Never Used,Never Used
18-24,Hombre,"Some college or university, no certificate or degree",USA,White,32,41,46,42,34,7.85%,11.19%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Month,Used in Last Day,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Year,Used in Last Decade,Used in Last Year,Used in Last Month,Never Used,Never Used
18-24,Mujer,Left school at 16 years,Canada,Mixed-White/Black,41,45,50,36,33,11.46%,11.14%,Used in Last Week,Used in Last Month,Used in Last Decade,Used in Last Year,Used in Last Week,Used in Last Week,Used in Last Week,Used in Last Week,Used in Last Month,Used in Last Year,Used in Last Week,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Month,Used in Last Decade,Used in Last Day,Never Used,Used over a Decade Ago
25-34,Mujer,"Some college or university, no certificate or degree",UK,White,26,43,57,53,45,18.83%,11.62%,Used in Last Decade,Used in Last Year,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Day,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Year,Never Used,Used in Last Year,Used in Last Year,Used in Last Year,Never Used,Used in Last Year,Used in Last Day,Never Used,Never Used
18-24,Mujer,Professional certificate/ diploma,USA,Mixed-White/Asian,41,48,45,47,54,10.34%,11.14%,Used in Last Week,Used in Last Week,Never Used,Used in Last Year,Used in Last Month,Used in Last Week,Used in Last Day,Used in Last Week,Never Used,Used in Last Year,Used in Last Year,Used in Last Year,Never Used,Used in Last Decade,Used in Last Day,Used in Last Year,Used in Last Day,Never Used,Never Used
